Restaurant,Category,TripA_Rating,TripA_ReviewCount,Yelp_Rating,Yelp_ReviewCount,Phone,Latitude,longitude
Pacific Rim By Kana,Asian Fusion,4.5,371,4.0,402,+17346629303,42.27981,-83.74937
The Lunch Room,Vegan,4.5,147,4.5,403,+17342248859,42.2843231,-83.7460385
Frita Batidos,Cuban,4.5,369,4.5,1468,+17347612882,42.2803651,-83.7491532
Mani Osteria,Italian,4.5,538,4.0,681,+17347696700,42.2795793749763,-83.744244702611
Metzger's German Restaurant,German,4.5,349,4.0,193,+17346688987,42.293025,-83.839377
Sava's,Bars,4.5,731,4.0,930,+17346232233,42.279605,-83.7409649
The Chop House - Ann Arbor,Steakhouses,4.5,353,4.0,370,+18884563463,42.2787453979254,-83.7487088888884
Jerusalem Garden,Desserts,4.5,278,4.0,165,+17349955060,42.2792053222656,-83.7454223632812
Zingerman's Delicatessen,Delis,4.5,1823,4.0,1863,+17346633354,42.2844740041972,-83.7452775306885
Gandy Dancer,Seafood,4,727,3.5,371,+17347690592,42.2872135476824,-83.7416808912894
Aventura Ann Arbor,Tapas Bars,4.5,307,4.0,611,+17343693153,42.28026,-83.746473
Knight's Steak House,Steakhouses,4,267,4.0,201,+17346658644,42.28537,-83.77806
Jolly Pumpkin in Ann Arbor,Pubs,4,483,4.0,837,+17349132730,42.27914,-83.74824
Tomukun Korean Barbeque,Korean,4.5,179,4.0,309,+17343692602,42.2795502,-83.7427918
Afternoon Delight,American (Traditional),4.5,169,4.0,321,+17346657513,42.2796135,-83.7467957
Zingerman's Roadhouse,American (Traditional),4,1188,3.5,1049,+17346633663,42.2804461,-83.7805119
Logan,American (New),4.5,187,4.0,223,+17343272312,42.2802391052246,-83.7493438720703
West End Grill,American (Traditional),4.5,142,4.0,84,+17347476260,42.27982,-83.74959
The Earle Restaurant,Wine Bars,4,271,3.5,256,+17349940211,42.2803591,-83.7488956
NeoPapalis,Salad,4.5,116,4.5,277,+17349292227,42.2775307,-83.7428818
Grizzly Peak Brewing Company,Breweries,4,420,3.5,510,+17347417325,42.2806289,-83.7488893
Cafe Zola,French,4,431,3.5,685,+17347692020,42.2806273,-83.7488206
Cardamom,Indian,4,159,4.0,417,+17346622877,42.298577940426,-83.7214592574346
Mediterrano,Mediterranean,4.5,224,4.0,118,+17343329700,42.2454048,-83.740979
Palm Palace Restaurant,Middle Eastern,4.5,229,3.5,280,+17346060706,42.25342,-83.6813
Isalita,Mexican,4.5,173,4.0,441,+17342137400,42.2794618,-83.7444065
Taste Kitchen,Desserts,4.5,95,4.0,164,+17343694241,42.2795716828378,-83.7423401932133
Gratzi,Italian,4,500,3.5,325,+18884563463,42.2786179,-83.7488327
Blue Tractor,Breweries,4,326,3.5,459,+17342224095,42.2805504,-83.7468163
Bigalora Wood Fired Cucina,Italian,4,147,3.5,286,+17349712442,42.2573324,-83.6992959
Spencer,American (New),4.5,43,4.0,130,+17343693979,42.2796619222548,-83.7478985264897
Conor O'Neill's Traditional,Irish,4,175,3.5,231,+17346652968,42.2788,-83.74902
Monahan's Seafood Market,Seafood,5,36,4.5,165,+17346625118,42.2843246,-83.7460403
Carson's American Bistro,American (New),4,178,3.5,149,+18884563463,42.3048,-83.69585
Elevation Burger Ann Arbor - Washtenaw,Cuban,4,76,4.5,1468,+17347612882,42.2803651,-83.7491532
Krazy Jim's Blimpy Burger,Burgers,4,235,3.5,185,+17346634590,42.2793178,-83.7500222
Zamaan Cafe,Mediterranean,4.5,63,4.0,107,+17347691113,42.2445919599101,-83.7583239535538
Prickly Pear Southwest Cafe,Tex-Mex,4,169,3.5,241,+17349300047,42.2786199,-83.74903
Seoul Garden,Sushi Bars,4,82,3.5,259,+17349972121,42.2423,-83.73416
Red Robin Gourmet Burgers,Burgers,4,118,3.0,69,+17349979550,42.24158,-83.73999
Banditos,Mexican,4,120,3.5,144,+17349960234,42.2798137,-83.7476017
Broken Egg,American (Traditional),4,81,3.0,184,+17346655340,42.2831153869629,-83.7486953735352
Ruth's Chris Steak House,Steakhouses,4,94,3.5,96,+17345855155,42.279,-83.74773
Fleetwood Diner,Diners,4,94,3.5,275,+17349955502,42.2794900388918,-83.7500317969716
Nick's Original House of Pancakes,Diners,4,102,3.5,190,+17346226425,42.24274,-83.7653
Mikette Bistro & Bar,French,4,69,4.0,146,+17344364363,42.298362,-83.720938
Blue Nile of Ann Arbor,Ethiopian,4,135,3.5,226,+17349984746,42.2805527,-83.7470094
Chela's Restaurant and Taqueria,Mexican,4.5,59,4.5,293,+17343326055,42.2736697,-83.7797882
Ashley's Ann Arbor,Pubs,4,127,3.5,400,+17349969191,42.27808,-83.74114
Big Boy,American (New),4,85,3.0,27,+17343692239,42.30638,-83.68999
California Pizza Kitchen,Pizza,4,73,3.5,78,+17342226320,42.24064,-83.744902
Detroit Street Filling Station,Vegan,4.5,20,4.0,87,+17342242161,42.28333,-83.7463099
Yotsuba Japanese Restaurant,Japanese,4,92,3.5,300,+17349715168,42.25511,-83.68103
Earthen Jar,Vegetarian,4.5,48,4.0,175,+17343279464,42.2791,-83.74583
Mark's Mid-Town Coney Island,American (Traditional),4,53,4.0,51,+17347476707,42.2335650358431,-83.7395063536909
Bd's Mongolian Grill,Mongolian,4,135,3.5,141,+17349130999,42.28034,-83.74894
Ayse's Turkish Cafe,Turkish,4.5,42,4.0,58,+17346621711,42.2989949328215,-83.7216339900569
The Session Room,Beer Bar,4,48,3.5,106,+17345857300,42.28432,-83.803674
Bravo Cucina Italiana,Italian,4,83,3.5,95,+17347476200,42.2382321,-83.74387
Anthony's Gourmet Pizza,Pizza,4.5,39,4.5,67,+17342132500,42.29563,-83.780918
Los Amigos Restaurant & Cantina,Mexican,4,89,3.5,81,+17343270500,42.239958,-83.740742
Plum Market,Specialty Food,4.5,39,3.5,28,+17345457250,42.30605,-83.69094
Fred's,Juice Bars & Smoothies,4.5,19,4.0,207,+17346693552,42.2805895,-83.7436352
Potbelly Sandwich Works,Sandwiches,4.5,31,3.5,55,+17342057000,42.279229,-83.740946
Dominick's,Italian,4,74,3.5,202,+17346625414,42.27313,-83.73876
Biercamp,Meat Shops,4.5,22,4.5,156,+17349952437,42.25849,-83.73975
Holiday's Restaurant,American (Traditional),4,39,3.5,70,+17346681292,42.2724075317383,-83.7749404907227
Maize N Blue Deli,Delis,4.5,40,4.0,128,+17349960009,42.2752,-83.73215
El Harissa Market Cafe,Mediterranean,5,20,4.5,107,+17345850686,42.2955801794467,-83.7801288125661
Mark's Mid-Town Coney Island,American (Traditional),4,41,4.0,51,+17347476707,42.2335650358431,-83.7395063536909
Red Lobster,Seafood,4,78,3.0,67,+17349714412,42.25147,-83.68136
Avalon Cafe and Kitchen,Cafes,4,43,4.0,201,+17342632996,42.2794143,-83.7482449
KouZina,Greek,4,28,4.0,87,+17349975155,42.27847,-83.7490399
Pilar's Tamales,Latin American,4.5,30,4.5,151,+17349294161,42.2737867,-83.7777313
RELISH - AUTHENTIC ANN ARBOR,Delis,4,48,4.0,1863,+17346633354,42.2844740041972,-83.7452775306885
Westside Barbecue,Barbeque,4.5,17,4.5,126,+17345850806,42.27371,-83.74791
Satchel's BBQ,Barbeque,4,62,3.5,167,+17349715100,42.25797,-83.69901
V Kitchen,Vietnamese,4,39,3.5,185,+17349301988,42.2449909923923,-83.7588362024595
Texas Roadhouse,Steakhouses,4,59,3.5,64,+17343328850,42.2414757973252,-83.7704740092158
Tuptim Thai Cuisine,Thai,4,45,3.5,201,+17345285588,42.2501983642578,-83.6635131835938
Godaiko Japanese Restaurant,Japanese,4,58,3.0,121,+17349302880,42.242396,-83.769698
Chili's Grill & Bar,Bars,4,58,2.0,36,+17342291304,42.22750046698,-83.3443450927734
Blaze,Salad,4,26,2.5,77,+17347733198,42.2464692,-83.758462
Whole Foods Market,Grocery,4,31,4.0,103,+17349977500,42.2484092712402,-83.7582015991211
Mezes Greek Grill,Greek,4.5,23,4.5,168,+17343692204,42.27891,-83.74001
Buddy's Pizza,Pizza,4,27,3.5,61,+17347929130,42.2407680879754,-83.768447405909
Applebee's,American (Traditional),3.5,90,3.5,44,+17347414851,42.246797,-83.760517
Benny's Family Dining,Diners,4,35,4.0,88,+17346636302,42.2585665990747,-83.7378178085289
Don Juan Mexican Bar & Grill,Mexican,4,41,3.5,75,+17347691650,42.272736,-83.775584
Miki Japanese Cuisine and Sushi Bar,Japanese,4,62,3.5,184,+17346658226,42.2811831652607,-83.7511654115194
Zola Bistro,French,3.5,126,3.0,233,+17344778088,42.2573966,-83.6996169
SIAM Square,Thai,4,35,3.5,145,+17349754541,42.25442,-83.68707
Mi Compadre,Mexican,4.5,16,4.0,80,+17346043868,42.2564726608719,-83.7262933328748
Amer's Delicatessen,Coffee & Tea,4,49,3.5,137,+17347616000,42.27887,-83.7411599
Totoro,Sushi Bars,4,54,3.5,225,+17343023511,42.2796584494045,-83.7407970428467
TK Wu,Chinese,4,61,3.5,192,+17347476662,42.279125213623,-83.7425155639648
Ginger Deli,Delis,4.5,18,4.0,138,+17347861331,42.2792204,-83.7438719
Silvio's Organic Ristorante e Pizzeria,Pizza,4,67,3.5,245,+17342146666,42.27891,-83.74001
P.F. Chang's,Asian Fusion,3.5,96,3.0,105,+17347803900,42.2414486926749,-83.7451316267283
Madras Masala,Indian,4,65,4.0,343,+17342229006,42.2784,-83.74235
HOMES Brewery,Breweries,4.5,17,4.0,161,+17349546637,42.28026,-83.778428
Haifa Falafel,Middle Eastern,4,42,4.0,330,+17346774410,42.252522,-83.667603
Old Town,Bars,4,50,4.0,111,+17346629291,42.2798195,-83.7496719
Classic Cup Cafe,Cafes,4,32,3.0,26,+17346624411,42.2855636,-83.8172329
Aut Bar,Gay Bars,4,36,3.5,160,+17349943677,42.28378,-83.74742
